Container,Image,Name,Type,Chance,Rarity,Min Ammo,Max Ammo
Dead Scav,Damaged Hard Drive Icon.png,Damaged hard drive,Electronics,0.17,Rare,,
Dead Scav,Magnet Icon.png,Magnet,Electronics,0.04,Super Rare,,
Dead Scav,Circuit Icon.png,Printed circuit board,Electronics,0.1,Rare,,
Dead Scav,Powercord icon.png,Powercord,Electronics,0.1,Rare,,
Dead Scav,Spark Plug Icon .png,Spark plug,Electronics,0.1,Rare,,
Dead Scav,Energy-Saving Lamp Icon.png,Energy-saving lamp,Electronics,0.17,Rare,,
Dead Scav,Gas Analyzer Icon.png,Gas analyzer,Electronics,0.05,Super Rare,,
Dead Scav,UV lamp Icon.png,Ultraviolet lamp,Electronics,0.04,Super Rare,,
Dead Scav,Geiger-Mueller counter Icon.png,Geiger-Muller counter,Electronics,0.03,Super Rare,,
Dead Scav,Broken GPhone x Icon.png,Broken GPhone X,Electronics,0.03,Super Rare,,
Dead Scav,Broken GPhone Icon.png,Broken GPhone,Electronics,0.05,Super Rare,,
Dead Scav,Psuicon.png,Power supply unit,Electronics,0.05,Rare,,
Dead Scav,Ramicon.png,RAM,Electronics,0.03,Rare,,
Dead Scav,T-Shaped Plug Icon.png,T-Shaped Plug,Electronics,0.25,Rare,,
Dead Scav,USB Adapter Icon.png,USB Adapter,Electronics,0.2,Rare,,
Dead Scav,Graphics Card icon.png,Graphics card,Electronics,0.02,Rare,,
Dead Scav,1gphone icon.png,Golden 1GPhone,Electronics,0.003,Super Rare,,
Dead Scav,Soap icon.png,Soap,Household Goods,0.09,Common,,
Dead Scav,Toilet paper icon.png,Toilet paper,Household Goods,0.08,Rare,,
Dead Scav,Printer Paper icon.png,Printer paper,Household Goods,0.05,Common,,
Dead Scav,Heat-exchange alkali surface washer icon.png,Heat-exchange alkali surface washer,Household Goods,0.07,Rare,,
Dead Scav,Paidicon.png,Paid AntiRoach,Household Goods,0.07,Rare,,
Dead Scav,Bleachicon.png,Ox bleach,Household Goods,0.08,Rare,,
Dead Scav,Sodium Bicarbonate icon.png,Sodium bicarbonate,Household Goods,0.08,Common,,
Dead Scav,Clin Wiper icon.png,Clin wiper,Household Goods,0.06,Rare,,
Dead Scav,Toothpasteicon.png,Toothpaste,Household Goods,0.11,Common,,
Dead Scav,Deadlyslobs beard oil icon.png,Deadlyslob's beard oil,Household Goods,0.005,Super Rare,,
Dead Scav,Chainlet icon.png,Chainlet,Valuables,0.05,Rare,,
Dead Scav,Teapot icon.png,Antique teapot,Valuables,0.02,Super Rare,,
Dead Scav,Vaseicon.png,Antique vase,Valuables,0.02,Super Rare,,
Dead Scav,Prokill medallion Icon.png,Chain with Prokill medallion,Valuables,0.001,Super Rare,,
Dead Scav,Golden neck chain Icon.png,Golden neck chain,Valuables,0.02,Rare,,
Dead Scav,Horse figurine Icon.png,Horse figurine,Valuables,0.05,Rare,,
Dead Scav,Caticon.png,Cat figurine,Valuables,0.02,Super Rare,,
Dead Scav,Bronze Lion Icon.png,Bronze lion,Valuables,0.01,Super Rare,,
Dead Scav,Roler icon.png,Roler submariner gold wrist watch,Valuables,0.01,Super Rare,,
Dead Scav,Wooden clock icon.png,Wooden clock,Valuables,0.01,Super Rare,,
Dead Scav,Bitcoin icon.png,Physical bitcoin,Valuables,0.01,Super Rare,,
Dead Scav,GoldenRoosterIcon.png,Golden rooster,Valuables,0.005,Super Rare,,
Dead Scav,Silver Badge icon.png,Silver Badge,Valuables,0.005,Super Rare,,
Dead Scav,Cricket lighter Icon.png,Crickent lighter,Flammable materials,0.4,Common,,
Dead Scav,Fuelcondicon.png,Fuel conditioner,Flammable materials,0.15,Super Rare,,
Dead Scav,Dryfuelicon.png,Dry fuel,Flammable materials,0.05,Rare,,
Dead Scav,WD40 100ml Icon.png,WD-40 100ml.,Flammable materials,0.02,Rare,,
Dead Scav,Wd-40400icon.png,WD-40 400ml,Flammable materials,0.05,Super Rare,,
Dead Scav,Matches Icon.png,Classic matches,Flammable materials,0.4,Common,,
Dead Scav,Zibbo lighter Icon.png,Zibbo lighter,Flammable materials,0.15,Rare,,
Dead Scav,5L propane tank icon.png,5L propane tank,Flammable materials,0.05,Rare,,
Dead Scav,FireKlean icon.png,FireKlean gun lube,Flammable materials,0.02,Super Rare,,
Dead Scav,Defibrillatoricon.png,Portable defibrillator,Medical Supplies,0.0005,Super Rare,,
Dead Scav,TransilluminatorIcon.png,LEDX Skin Transilluminator,Medical Supplies,0.0005,Super Rare,,
Dead Scav,Medical Bloodset Icon.png,Medical bloodset,Medical Supplies,0.08,Rare,,
Dead Scav,Hydrogen Peroxide icon.png,Hydrogen peroxide,Medical Supplies,0.06,Rare,,
Dead Scav,Ophthalmoscopeicon.png,Ophthalmoscope,Medical Supplies,0.01,Super Rare,,
Dead Scav,Saline Solution icon.png,Saline solution,Medical Supplies,0.06,Rare,,
Dead Scav,PliersElite.png,Pliers Elite,Tool,0.02,Rare,,
Dead Scav,Plier Icon.png,Pliers,Tool,0.21,Rare,,
Dead Scav,Construction Measuring Tape Icon.png,Construction measuring tape,Tool,0.17,Rare,,
Dead Scav,Screwdriver Icon.png,Screwdriver,Tool,0.18,Rare,,
Dead Scav,Toolsicon.png,A set of tools,Tool,0.08,Super Rare,,
Dead Scav,Wrench Icon.png,Wrench,Tool,0.18,Rare,,
Dead Scav,FireSteelIcon.png,Old firesteel,Tool,0.003,Super Rare,,
Dead Scav,ParacordIcon.png,Paracord,Other,0.07,Super Rare,,
Dead Scav,Malboro Cigarettes Icon.png,Malboro Cigarettes,Other,0.4,Common,,
Dead Scav,Coffeicon.png,Coffee Majaica,Other,0.07,Rare,,
Dead Scav,Apollon Soyuz cigarettes Icon.png,Apollon Soyuz cigarettes,Other,0.5,Common,,
Dead Scav,Cigred.png,Strike Cigarettes,Other,0.3,Common,,
Dead Scav,Wilstonicon.png,Wilston cigarettes,Other,0.15,Common,,
Dead Scav,Airfiltericon.png,Air filter for gas mask,Other,0.08,Rare,,
Dead Scav,Gunpowder Icon.png,"Gunpowder ""Kite""",Other,0.06,Rare,,
Dead Scav,EnglishTeaIcon.png,42nd Signature Blend English Tea,Other,0.03,Super Rare,,
Dead Scav,BatteredBookIcon.png,Battered antique Book,Other,0.04,Super Rare,,
Dead Scav,Makarovmag.png,"90-93 9x18PM Magazine, for 8 PM rounds",Magazine,0.2,Common,,
Dead Scav,PM icon.png,PM 9x18PM pistol,Pistol,0.15,Common,,
Dead Scav,Green Tea icon.png,Green Ice,Drink,0.1,Common,,
Dead Scav,Apple Juice icon.png,Apple juice,Drink,0.3,Rare,,
Dead Scav,Grand Juice icon.png,Grand juice,Drink,0.3,Rare,,
Dead Scav,Vita Juice icon.png,Vita juice,Drink,0.3,Rare,,
Dead Scav,NRG Drink icon.png,Max energy,Drink,0.1,Common,,
Dead Scav,Pack ofMilk icon.png,Pack of milk,Drink,0.25,Rare,,
Dead Scav,Tar Cola icon.png,TarCola,Drink,0.08,Common,,
Dead Scav,Aquamari icon.png,Water bottle with a filter Aquamari,Drink,0.06,Super Rare,,
Dead Scav,Hor Rod icon.png,Hot Rod,Drink,0.21,Rare,,
Dead Scav,Pineapple Juice icon.png,Russian Army pineapple juice,Drink,0.27,Rare,,
Dead Scav,Water icon.png,0.6L water bottle,Drink,0.05,Common,,
Dead Scav,Can of sprats Icon.png,Can of sprats,Food,0.05,Rare,,
Dead Scav,DDGMayoIcon.png,Jar of DevilDog mayo,Food,0.03,Super Rare,,
Dead Scav,Alyonka Chocolate Bar icon.png,Alyonka chocolate bar,Food,0.15,Common,,
Dead Scav,Can of beef stew Icon.png,Can of beef stew,Food,0.1,Common,,
Dead Scav,Rye Croutons.png,Rye croutons,Food,0.15,Common,,
Dead Scav,Can of beef stew alt Icon.png,Can of delicious beef stew,Food,0.2,Common,,
Dead Scav,Condmilkicon.png,Condensed milk,Food,0.17,Rare,,
Dead Scav,Emeyla Croutons.png,Emelya rye croutons,Food,0.25,Common,,
Dead Scav,Herring icon.png,Can of herring,Food,0.15,Common,,
Dead Scav,Humpback icon.png,Humpback salmon,Food,0.13,Common,,
Dead Scav,Saury icon.png,Can of pacific saury,Food,0.12,Common,,
Dead Scav,MRE icon.png,MRE lunch box,Food,0.2,Rare,,
Dead Scav,Lunchbox icon.png,Iskra lunch box,Food,0.2,Common,,
Dead Scav,Sugar icon.png,Pack of sugar,Food,0.12,Rare,,
Dead Scav,Oatflakes icon.png,Pack of oat flakes,Food,0.15,Rare,,
Dead Scav,Peas icon.png,Can of green peas,Food,0.12,Common,,
Dead Scav,Slickers bar icon.png,Slickers bar,Food,0.19,Common,,
Dead Scav,Squash Spread icon.png,Squash spread,Food,0.09,Common,,
Dead Scav,Army Crackers icon.png,Army Crackers,Food,0.25,Common,,
Dead Scav,AI-2 Icon.png,AI-2 medikit,Medkit,0.12,Common,,
Dead Scav,EFT Aseptic-Bandage Icon.png,Aseptic bandage,Injury treatment,0.15,Common,,
Dead Scav,EFT Splint Icon.png,Immobilizing splint,Injury treatment,0.15,Common,,
Dead Scav,12x70BUCKSHOT.png,3-10 12x70 7mm Buckshot,Ammo,0.5,Common,,
Dead Scav,Roublesicon.png,"560-1,150 Roubles",Money,0.5,Common,,
Drawer,FolderWithIntelligence Icon.png,Folder with intelligence,Info,0.03,Super Rare,,
Drawer,AA Battery Icon 2.png,AA Battery,Energy Element,0.2,Common,,
Drawer,D Size Battery Icon.png,D Size Battery,Energy Element,0.1,Common,,
Drawer,Recicon.png,Rechargeable battery,Energy Element,0.1,Rare,,
Drawer,Duct tape Icon.png,Duct tape,Building Material,0.25,Common,,
Drawer,Insulating tape Icon.png,Insulating tape,Building Material,0.2,Rare,,
Drawer,Electric Drill icon.png,Electric drill,Electronics,0.06,Super Rare,,
Drawer,Damaged Hard Drive Icon.png,Damaged hard drive,Electronics,0.17,Rare,,
Drawer,Powercord icon.png,Powercord,Electronics,0.1,Rare,,
Drawer,Spark Plug Icon .png,Spark plug,Electronics,0.1,Rare,,
Drawer,Energy-Saving Lamp Icon.png,Energy-saving lamp,Electronics,0.17,Rare,,
Drawer,Gas Analyzer Icon.png,Gas analyzer,Electronics,0.05,Super Rare,,
Drawer,UV lamp Icon.png,Ultraviolet lamp,Electronics,0.04,Super Rare,,
Drawer,Geiger-Mueller counter Icon.png,Geiger-Muller counter,Electronics,0.03,Super Rare,,
Drawer,Broken GPhone Icon.png,Broken GPhone,Electronics,0.05,Super Rare,,
Drawer,T-Shaped Plug Icon.png,T-Shaped Plug,Electronics,0.25,Rare,,
Drawer,USB Adapter Icon.png,USB Adapter,Electronics,0.2,Rare,,
Drawer,Printer Paper icon.png,Printer paper,Household Goods,0.05,Common,,
Drawer,Chainlet icon.png,Chainlet,Valuable,0.05,Rare,,
Drawer,Golden neck chain Icon.png,Golden neck chain,Valuable,0.02,Rare,,
Drawer,Horse figurine Icon.png,Horse figurine,Valuable,0.05,Rare,,
Drawer,Roler icon.png,Roler submariner gold wrist watch,Valuable,0.01,Super Rare,,
Drawer,Cricket lighter Icon.png,Crickent lighter,Flammable material,0.4,Common,,
Drawer,Matches Icon.png,Classic matches,Flammable material,0.4,Common,,
Drawer,Zibbo lighter Icon.png,Zibbo lighter,Flammable material,0.15,Rare,,
Drawer,Terragroup Labs access keycard icon.png,TerraGroup Labs access keycard,Key,0.12,Super Rare,,
Drawer,Key-105-Icon.png,Dorm room 105 Key,Key,0.03,Super Rare,,
Drawer,Cabinet key Gas Station Icon.png,Cabinet key,Key,0.03,Common,,
Drawer,Key-203-Icon.png,Dorm room 203 Key,Key,0.09,Super Rare,,
Drawer,Key-218-Icon.png,Dorm room 218 Key,Key,0.03,Common,,
Drawer,Key-220-Icon.png,Dorm room 220 Key,Key,0.03,Common,,
Drawer,Key-308-Icon.png,Dorm room 308 Key,Key,0.03,Common,,
Drawer,Key-315-Icon.png,Dorm room 315 Key,Key,0.03,Common,,
Drawer,Customs-office-key-Icon.png,Customs office key,Key,0.03,Common,,
Drawer,Key-204-Icon.png,Dorm room 204 Key,Key,0.03,Common,,
Drawer,Dollarsicon.png,45-100 Dollars,Money,0.1,Rare,,
Drawer,Eurosicon.png,35-90 Euros,Money,0.1,Super Rare,,
Jacket (114 key),Key-114-Icon.png,Dorm room 114 Key,Key,0.1,Common,,
Jacket (114 key),EFT Grizzly Icon.png,Grizzly First Aid Kit,Medkit,0.02,Super Rare,,
Jacket (114 key),EFT Car-first-aid-kit Icon.png,Car first aid kit,Medkit,0.1,Common,,
Jacket (114 key),EFT IFAK Icon.png,IFAK personal tactical first aid kit,Medkit,0.07,Super Rare,,
Jacket (114 key),AI-2 Icon.png,AI-2 medikit,Medkit,0.12,Common,,
Jacket (114 key),EFT Salewa-First-Aid-Kit Icon 2.png,Salewa FIRST AID KIT,Medkit,0.12,Rare,,
Jacket (204 key),AA Battery Icon 2.png,AA Battery,Energy Element,0.2,Common,,
Jacket (204 key),D Size Battery Icon.png,D Size Battery,Energy Element,0.1,Common,,
Jacket (204 key),Duct tape Icon.png,Duct tape,Building Material,0.25,Common,,
Jacket (204 key),Insulating tape Icon.png,Insulating tape,Building Material,0.2,Rare,,
Jacket (204 key),Boltsicon.png,Bolts,Building Material,0.35,Common,,
Jacket (204 key),Screwnuticon.png,Screw nut,Building Material,0.35,Common,,
Jacket (204 key),Broken GPhone Icon.png,Broken GPhone,Electronics,0.05,Super Rare,,
Jacket (204 key),Chainlet icon.png,Chainlet,Valuable,0.05,Rare,,
Jacket (204 key),Golden neck chain Icon.png,Golden neck chain,Valuable,0.02,Rare,,
Jacket (204 key),Cricket lighter Icon.png,Crickent lighter,Flammable material,0.4,Common,,
Jacket (204 key),Dryfuelicon.png,Dry fuel,Flammable material,0.05,Rare,,
Jacket (204 key),5L propane tank icon.png,5L propane tank,Flammable material,0.05,Rare,,
Jacket (204 key),Fuelcondicon.png,Fuel conditioner,Flammable material,0.15,Super Rare,,
Jacket (204 key),FireKlean icon.png,FireKlean gun lube,Flammable material,0.02,Super Rare,,
Jacket (204 key),WD40 100ml Icon.png,WD-40 100ml.,Flammable material,0.02,Rare,,
Jacket (204 key),Wd-40400icon.png,WD-40 400ml,Flammable material,0.05,Super Rare,,
Jacket (204 key),Matches Icon.png,Classic matches,Flammable material,0.4,Common,,
Jacket (204 key),Zibbo lighter Icon.png,Zibbo lighter,Flammable material,0.15,Rare,,
Jacket (204 key),Malboro Cigarettes Icon.png,Malboro Cigarettes,Other,0.4,Common,,
Jacket (204 key),Apollon Soyuz cigarettes Icon.png,Apollon Soyuz cigarettes,Other,0.5,Common,,
Jacket (204 key),Cigred.png,Strike Cigarettes,Other,0.3,Common,,
Jacket (204 key),Wilstonicon.png,Wilston cigarettes,Other,0.15,Common,,
Jacket (204 key),Plier Icon.png,Pliers,Tool,0.21,Rare,,
Jacket (204 key),Toolsicon.png,A set of tools,Tool,0.08,Super Rare,,
Jacket (204 key),Tar Cola icon.png,TarCola,Drink,0.08,Common,,
Jacket (204 key),Hor Rod icon.png,Hot Rod,Drink,0.21,Rare,,
Jacket (204 key),Alyonka Chocolate Bar icon.png,Alyonka chocolate bar,Food,0.15,Common,,
Jacket (204 key),Rye Croutons.png,Rye croutons,Food,0.15,Common,,
Jacket (204 key),Emeyla Croutons.png,Emelya rye croutons,Food,0.25,Common,,
Jacket (204 key),Slickers bar icon.png,Slickers bar,Food,0.19,Common,,
Jacket (204 key),Key-204-Icon.png,Dorm room 204 Key,Key,0.03,Common,,
Jacket (204 key),EFT Painkillers Icon.png,Analgin painkillers,Pills,0.2,Common,,
Jacket (204 key),EFT Vaseline Icon.png,Vaseline,Injury treatment,0.02,Super Rare,,
Jacket (204 key),Roublesicon.png,"560-1,150 Roubles",Money,0.5,Common,,
Jacket (machinery key),Machinery-key-Icon.png,Machinery key,Key,1,Super Rare,,
Jacket (marked key),AA Battery Icon 2.png,AA Battery,Energy Element,0.2,Common,,
Jacket (marked key),D Size Battery Icon.png,D Size Battery,Energy Element,0.1,Common,,
Jacket (marked key),Duct tape Icon.png,Duct tape,Building Material,0.25,Common,,
Jacket (marked key),Insulating tape Icon.png,Insulating tape,Building Material,0.2,Rare,,
Jacket (marked key),Boltsicon.png,Bolts,Building Material,0.35,Common,,
Jacket (marked key),Screwnuticon.png,Screw nut,Building Material,0.35,Common,,
Jacket (marked key),Broken GPhone Icon.png,Broken GPhone,Electronics,0.05,Super Rare,,
Jacket (marked key),Chainlet icon.png,Chainlet,Valuable,0.05,Rare,,
Jacket (marked key),Golden neck chain Icon.png,Golden neck chain,Valuable,0.02,Rare,,
Jacket (marked key),Bitcoin icon.png,Physical bitcoin,Valuable,0.01,Super Rare,,
Jacket (marked key),Cricket lighter Icon.png,Crickent lighter,Flammable material,0.4,Common,,
Jacket (marked key),Matches Icon.png,Classic matches,Flammable material,0.4,Common,,
Jacket (marked key),Zibbo lighter Icon.png,Zibbo lighter,Flammable material,0.15,Rare,,
Jacket (marked key),Malboro Cigarettes Icon.png,Malboro Cigarettes,Other,0.4,Common,,
Jacket (marked key),Apollon Soyuz cigarettes Icon.png,Apollon Soyuz cigarettes,Other,0.5,Common,,
Jacket (marked key),Cigred.png,Strike Cigarettes,Other,0.3,Common,,
Jacket (marked key),Wilstonicon.png,Wilston cigarettes,Other,0.15,Common,,
Jacket (marked key),Plier Icon.png,Pliers,Tool,0.21,Rare,,
Jacket (marked key),Toolsicon.png,A set of tools,Tool,0.08,Super Rare,,
Jacket (marked key),Tar Cola icon.png,TarCola,Drink,0.08,Common,,
Jacket (marked key),Hor Rod icon.png,Hot Rod,Drink,0.21,Rare,,
Jacket (marked key),Alyonka Chocolate Bar icon.png,Alyonka chocolate bar,Food,0.15,Common,,
Jacket (marked key),Rye Croutons.png,Rye croutons,Food,0.15,Common,,
Jacket (marked key),Emeyla Croutons.png,Emelya rye croutons,Food,0.25,Common,,
Jacket (marked key),Slickers bar icon.png,Slickers bar,Food,0.19,Common,,
Jacket (marked key),Marked-key-Icon.png,Marked key,Key,0.02,Super Rare,,
Jacket (marked key),Bayonetknifeicon.png,ER Fulcrum Bayonet,Melee weapon,0.05,Super Rare,,
Jacket (marked key),EFT Painkillers Icon.png,Analgin painkillers,Pills,0.13,Common,,
Jacket (marked key),EFT Vaseline Icon.png,Vaseline,Injury treatment,0.02,Super Rare,,
Jacket (marked key),Roublesicon.png,"560-1,150 Roubles",Money,0.5,Common,,
Medbag SMU06,Defibrillatoricon.png,Portable defibrillator,Medical Supplies,0.0005,Super Rare,,
Medbag SMU06,TransilluminatorIcon.png,LEDX Skin Transilluminator,Medical Supplies,0.0005,Super Rare,,
Medbag SMU06,Medical Bloodset Icon.png,Medical bloodset,Medical Supplies,0.08,Rare,,
Medbag SMU06,Hydrogen Peroxide icon.png,Hydrogen peroxide,Medical Supplies,0.06,Rare,,
Medbag SMU06,Ophthalmoscopeicon.png,Ophthalmoscope,Medical Supplies,0.01,Super Rare,,
Medbag SMU06,Saline Solution icon.png,Saline solution,Medical Supplies,0.12,Rare,,
Medbag SMU06,EFT Grizzly Icon.png,Grizzly First Aid Kit,Medkit,0.02,Super Rare,,
Medbag SMU06,EFT Car-first-aid-kit Icon.png,Car first aid kit,Medkit,0.1,Common,,
Medbag SMU06,EFT IFAK Icon.png,IFAK personal tactical first aid kit,Medkit,0.07,Super Rare,,
Medbag SMU06,AI-2 Icon.png,AI-2 medikit,Medkit,0.12,Common,,
Medbag SMU06,EFT Salewa-First-Aid-Kit Icon 2.png,Salewa FIRST AID KIT,Medkit,0.09,Rare,,
Medbag SMU06,EFT Aseptic-Bandage Icon.png,Aseptic bandage,Injury treatment,0.15,Common,,
Medbag SMU06,EFT Army-Bandage Icon.png,Army bandage,Injury treatment,0.2,Rare,,
Medbag SMU06,Golden Star Balm Icon.png,Golden Star Balm,Injury treatment,0.01,Super Rare,,
Medbag SMU06,AluSplintIcon.png,Immobilizing splint (alu),Injury treatment,0.04,Super Rare,,
Medbag SMU06,EFT Splint Icon.png,Immobilizing splint,Injury treatment,0.15,Common,,
Medbag SMU06,EFT Vaseline Icon.png,Vaseline,Injury treatment,0.02,Super Rare,,
Medbag SMU06,EFT Augmentin-antibiotic-pills Icon.png,Augmentin antibiotic pills,Pills,0.04,Super Rare,,
Medbag SMU06,EFT Painkillers Icon.png,Analgin painkillers,Pills,0.13,Common,,
Medbag SMU06,Ibuprofen painkiller icon.png,Ibuprofen painkillers,Pills,0.03,Super Rare,,
Medbag SMU06,EFT Morphine Icon.png,Morphine injector,Injector,0.07,Rare,,
Medbag SMU06,PropitalIcon.png,Propital,Stimulator,0.07,Super Rare,,
Medbag SMU06,Combat stimulant SJ1 icon.png,Combat stimulant injector SJ1 TGLabs,Stimulator,0.01,Super Rare,,
Medbag SMU06,Combat stimulant SJ6 icon.png,Combat stimulant injector SJ6 TGLabs,Stimulator,0.05,Super Rare,,
Medbag SMU06,Hemostatic drug Zagustin icon.png,Hemostatic drug Zagustin,Stimulator,0.02,Super Rare,,
Medbag SMU06,ETG change icon.png,Regenerative stimulant injector eTG-change,Stimulator,0.02,Super Rare,,
Medbag SMU06,Adrenaline Icon.png,Adrenaline injector,Stimulator,0.04,Super Rare,,
Medcase,Defibrillatoricon.png,Portable defibrillator,Medical Supplies,,Super Rare,,
Medcase,TransilluminatorIcon.png,LEDX Skin Transilluminator,Medical Supplies,,Super Rare,,
Medcase,Medical Bloodset Icon.png,Medical bloodset,Medical Supplies,,Rare,,
Medcase,Hydrogen Peroxide icon.png,Hydrogen peroxide,Medical Supplies,,Rare,,
Medcase,Ophthalmoscopeicon.png,Ophthalmoscope,Medical Supplies,,Super Rare,,
Medcase,Saline Solution icon.png,Saline solution,Medical Supplies,,Rare,,
Medcase,AI-2 Icon.png,AI-2 medikit,Medkit,,Common,,
Medcase,EFT Aseptic-Bandage Icon.png,Aseptic bandage,Injury treatment,,Common,,
Medcase,EFT Army-Bandage Icon.png,Army bandage,Injury treatment,,Rare,,
Medcase,Golden Star Balm Icon.png,Golden Star Balm,Injury treatment,,Super Rare,,
Medcase,EFT Splint Icon.png,Immobilizing splint,Injury treatment,,Common,,
Medcase,EFT Vaseline Icon.png,Vaseline,Injury treatment,,Super Rare,,
Medcase,EFT Augmentin-antibiotic-pills Icon.png,Augmentin antibiotic pills,Pills,,Super Rare,,
Medcase,EFT Painkillers Icon.png,Analgin painkillers,Pills,,Common,,
Medcase,EFT Morphine Icon.png,Morphine injector,Injector,,Rare,,
PC block,Powercord icon.png,Powercord,Electronics,0.1,Rare,,
PC block,PC CPU Icon.png,PC CPU,Electronics,0.05,Rare,,
PC block,CPU Fan Icon.png,CPU Fan,Electronics,0.2,Rare,,
PC block,DVD drive Icon.png,DVD drive,Electronics,0.2,Rare,,
PC block,Damaged Hard Drive Icon.png,Damaged hard drive,Electronics,0.17,Rare,,
PC block,Circuit Icon.png,Printed circuit board,Electronics,0.1,Rare,,
PC block,Psuicon.png,Power supply unit,Electronics,0.05,Rare,,
PC block,Ramicon.png,RAM,Electronics,0.03,Rare,,
PC block,Graphics Card icon.png,Graphics card,Electronics,0.01,Rare,,
PC block,Wiresicon.png,Wires,Electronics,0.15,Common,,
PC block,Capacitorsicon.png,Capacitors,Electronics,0.15,Common,,
Safe,Teapot icon.png,Antique teapot,Valuable,0.02,Super Rare,,
Safe,Vaseicon.png,Antique vase,Valuable,0.02,Super Rare,,
Safe,Prokill medallion Icon.png,Chain with Prokill medallion,Valuable,0.001,Super Rare,,
Safe,Chainlet icon.png,Chainlet,Valuable,0.05,Rare,,
Safe,Golden neck chain Icon.png,Golden neck chain,Valuable,0.02,Rare,,
Safe,Horse figurine Icon.png,Horse figurine,Valuable,0.05,Rare,,
Safe,Caticon.png,Cat figurine,Valuable,0.02,Super Rare,,
Safe,Bronze Lion Icon.png,Bronze lion,Valuable,0.01,Super Rare,,
Safe,Roler icon.png,Roler submariner gold wrist watch,Valuable,0.01,Super Rare,,
Safe,Wooden clock icon.png,Wooden clock,Valuable,0.01,Super Rare,,
Safe,Bitcoin icon.png,Physical bitcoin,Valuable,0.01,Super Rare,,
Safe,GoldenRoosterIcon.png,Golden rooster,Valuable,0.005,Super Rare,,
Safe,Silver Badge icon.png,Silver Badge,Valuable,0.005,Super Rare,,
Safe,Roublesicon.png,"560-1,150 Roubles",Money,0.5,Common,,
Safe,Dollarsicon.png,45-100 Dollars,Money,0.1,Rare,,
Safe,Eurosicon.png,35-90 Euros,Money,0.1,Super Rare,,
Sport bag,Mil Batt icon.png,6-STEN-140-M military battery,Energy Element,0.1,Super Rare,,
Sport bag,Car Battery Icon.png,Car battery,Energy Element,0.08,Rare,,
Sport bag,PowerbankIcon.png,Powerbank,Energy Element,0.02,Rare,,
Sport bag,AA Battery Icon 2.png,AA Battery,Energy Element,0.2,Common,,
Sport bag,D Size Battery Icon.png,D Size Battery,Energy Element,0.1,Common,,
Sport bag,Recicon.png,Rechargeable battery,Energy Element,0.1,Rare,,
Sport bag,Duct tape Icon.png,Duct tape,Building Material,0.25,Common,,
Sport bag,Insulating tape Icon.png,Insulating tape,Building Material,0.2,Rare,,
Sport bag,Hoseicon.png,Corrugated hose,Building Material,0.12,Rare,,
Sport bag,Nailsicon.png,A pack of nails,Building Material,0.05,Common,,
Sport bag,Plexicon.png,Piece of plexiglas,Building Material,0.06,Rare,,
Sport bag,Screwsicon.png,A pack of screws,Building Material,0.08,Common,,
Sport bag,Xenoicon.png,Xenomorph sealing foam,Building Material,0.12,Super Rare,,
